humidity,acceleration_z,data_format,acceleration_x,acceleration,battery,acceleration_y,temperature,pressure,time,device_mac
34.0,1032,3,13,1032.2218753737009,3145,-17,22.3,1010.93,2019-09-26T03:55:07.894620,E4:49:12:58:E8:AF
34.0,1037,3,11,1037.166813969672,3139,-15,22.3,1010.95,2019-09-26T04:00:06.381454,E4:49:12:58:E8:AF
34.0,1035,3,13,1035.2560069857118,3139,-19,22.3,1010.95,2019-09-26T04:05:07.813076,E4:49:12:58:E8:AF
34.0,1031,3,8,1031.1711788059245,3151,-17,22.29,1010.95,2019-09-26T04:10:06.281435,E4:49:12:58:E8:AF
34.0,1038,3,11,1038.197476398397,3145,-17,22.29,1010.98,2019-09-26T04:15:06.652656,E4:49:12:58:E8:AF
34.0,1037,3,10,1037.1875433112375,3151,-17,22.28,1010.97,2019-09-26T04:20:07.108217,E4:49:12:58:E8:AF
34.0,1032,3,11,1032.1986242967,3151,-17,22.28,1011.02,2019-09-26T04:25:09.510961,E4:49:12:58:E8:AF
34.0,1039,3,13,1039.2203808625002,3151,-17,22.28,1011.1,2019-09-26T04:30:06.918231,E4:49:12:58:E8:AF
33.5,1040,3,10,1040.2038261802347,3151,-18,22.27,1011.15,2019-09-26T04:35:06.372727,E4:49:12:58:E8:AF
33.5,1037,3,12,1037.2622619183637,3151,-20,22.27,1011.21,2019-09-26T04:40:07.798443,E4:49:12:58:E8:AF
33.5,1036,3,12,1036.1930322097326,3145,-16,22.27,1011.23,2019-09-26T04:45:07.234741,E4:49:12:58:E8:AF
33.5,1038,3,9,1038.195068375881,3139,-18,22.26,1011.28,2019-09-26T04:50:06.689328,E4:49:12:58:E8:AF
33.5,1035,3,15,1035.265183419205,3151,-18,22.26,1011.28,2019-09-26T04:55:06.216944,E4:49:12:58:E8:AF
33.5,1039,3,12,1039.2083525453402,3151,-17,22.26,1011.32,2019-09-26T05:00:06.739473,E4:49:12:58:E8:AF
33.5,1034,3,12,1034.2441684631342,3145,-19,22.26,1011.35,2019-09-26T05:05:07.224385,E4:49:12:58:E8:AF
33.5,1041,3,9,1041.1776985702297,3151,-17,22.26,1011.4,2019-09-26T05:10:07.659230,E4:49:12:58:E8:AF
33.5,1033,3,13,1033.2385978078828,3157,-18,22.26,1011.4,2019-09-26T05:15:08.135496,E4:49:12:58:E8:AF
33.5,1039,3,9,1039.1780405686025,3145,-17,22.26,1011.41,2019-09-26T05:20:08.540022,E4:49:12:58:E8:AF
33.5,1035,3,10,1035.1719663901258,3145,-16,22.25,1011.44,2019-09-26T05:25:07.974162,E4:49:12:58:E8:AF
33.5,1034,3,12,1034.178417875755,3151,-15,22.25,1011.46,2019-09-26T05:30:06.448230,E4:49:12:58:E8:AF
33.5,1036,3,10,1036.281814951898,3145,-22,22.25,1011.5,2019-09-26T05:35:07.897160,E4:49:12:58:E8:AF
33.5,1037,3,16,1037.2627439564192,3151,-17,22.25,1011.55,2019-09-26T05:40:06.361206,E4:49:12:58:E8:AF
33.5,1035,3,12,1035.1932186794888,3151,-16,22.26,1011.57,2019-09-26T05:45:06.843944,E4:49:12:58:E8:AF
33.5,1031,3,10,1031.205605105015,3145,-18,22.26,1011.62,2019-09-26T05:50:06.365395,E4:49:12:58:E8:AF
33.5,1033,3,12,1033.2632771951203,3145,-20,22.25,1011.67,2019-09-26T05:55:06.836201,E4:49:12:58:E8:AF
33.5,1035,3,10,1035.2226813589432,3151,-19,22.26,1011.72,2019-09-26T06:00:07.176002,E4:49:12:58:E8:AF
33.5,1036,3,8,1036.1872417666607,3145,-18,22.27,1011.74,2019-09-26T06:05:07.622976,E4:49:12:58:E8:AF
33.5,1034,3,11,1034.128135194087,3139,-12,22.32,1011.81,2019-09-26T06:10:07.181031,E4:49:12:58:E8:AF
33.5,1038,3,13,1038.1897707066853,3145,-15,22.32,1011.8,2019-09-26T06:15:06.634475,E4:49:12:58:E8:AF
33.5,1035,3,10,1035.2226813589432,3145,-19,22.31,1011.83,2019-09-26T06:20:06.025102,E4:49:12:58:E8:AF
33.5,1036,3,15,1036.2321168541341,3139,-16,22.31,1011.84,2019-09-26T06:25:06.500344,E4:49:12:58:E8:AF
33.5,1033,3,6,1033.2308551335466,3151,-21,22.3,1011.92,2019-09-26T06:30:06.893248,E4:49:12:58:E8:AF
33.5,1035,3,15,1035.1903206657219,3145,-13,22.29,1011.99,2019-09-26T06:35:06.390982,E4:49:12:58:E8:AF
33.5,1041,3,12,1041.2079523322898,3151,-17,22.29,1012.03,2019-09-26T06:40:06.820420,E4:49:12:58:E8:AF
33.5,1034,3,10,1034.3041138852732,3139,-23,22.28,1012.05,2019-09-26T06:45:06.264135,E4:49:12:58:E8:AF
33.5,1042,3,10,1042.2211857374614,3151,-19,22.28,1012.08,2019-09-26T06:50:06.723009,E4:49:12:58:E8:AF
33.5,1036,3,12,1036.2625150028346,3145,-20,22.27,1012.06,2019-09-26T06:55:07.220117,E4:49:12:58:E8:AF
33.5,1034,3,11,1034.2151613663377,3151,-18,22.27,1012.1,2019-09-26T07:00:07.657781,E4:49:12:58:E8:AF
33.5,1033,3,10,1033.2052071103785,3151,-18,22.27,1012.11,2019-09-26T07:05:07.017673,E4:49:12:58:E8:AF
33.5,1040,3,9,1040.2312242958294,3139,-20,22.27,1012.15,2019-09-26T07:10:06.416145,E4:49:12:58:E8:AF
33.5,1035,3,12,1035.226062268527,3145,-18,22.27,1012.23,2019-09-26T07:15:06.800422,E4:49:12:58:E8:AF
