acceleration_y,data_format,pressure,acceleration_z,battery,temperature,acceleration,acceleration_x,humidity,time,device_mac
-79,3,991.73,990,3073,21.42,1033.2308551335466,285,50.5,2019-10-12T14:55:06.896242,E4:49:12:58:E8:AF
-81,3,991.59,991,3073,21.42,1034.3437533044805,285,50.5,2019-10-12T15:00:06.290315,E4:49:12:58:E8:AF
-71,3,991.57,997,3073,21.43,1040.7449255220993,290,50.5,2019-10-12T15:05:06.718741,E4:49:12:58:E8:AF
-71,3,991.56,994,3073,21.42,1037.0371256613719,287,50.5,2019-10-12T15:10:07.122980,E4:49:12:58:E8:AF
-77,3,991.59,993,3067,21.4,1036.7844520439144,288,50.5,2019-10-12T15:15:07.606644,E4:49:12:58:E8:AF
-77,3,991.64,991,3073,21.4,1034.8690738446096,288,50.5,2019-10-12T15:20:07.035067,E4:49:12:58:E8:AF
-76,3,991.61,992,3079,21.4,1034.9227024275774,285,50.5,2019-10-12T15:25:06.531962,E4:49:12:58:E8:AF
-76,3,991.57,992,3079,21.38,1035.7528662765071,288,50.5,2019-10-12T15:30:07.097583,E4:49:12:58:E8:AF
-72,3,991.78,993,3073,21.38,1036.1476728729356,287,50.5,2019-10-12T15:35:06.483780,E4:49:12:58:E8:AF
-73,3,991.79,988,3073,21.37,1031.7058689374603,288,50.5,2019-10-12T15:40:07.943007,E4:49:12:58:E8:AF
-76,3,991.79,991,3073,21.37,1034.5172787343863,287,50.0,2019-10-12T15:45:08.383279,E4:49:12:58:E8:AF
-78,3,991.85,993,3073,21.37,1035.208674615896,282,50.5,2019-10-12T15:50:06.899521,E4:49:12:58:E8:AF
-76,3,991.84,991,3073,21.37,1035.3535627987185,290,51.0,2019-10-12T15:55:06.301441,E4:49:12:58:E8:AF
-79,3,991.85,992,3067,21.38,1035.9773163539828,288,50.5,2019-10-12T16:00:06.778829,E4:49:12:58:E8:AF
-77,3,991.89,994,3079,21.4,1037.7422608721301,288,51.0,2019-10-12T16:05:07.337506,E4:49:12:58:E8:AF
-79,3,991.92,993,3079,21.43,1036.9349063465845,288,51.0,2019-10-12T16:10:07.771839,E4:49:12:58:E8:AF
-75,3,991.91,989,3073,21.48,1033.9293979764768,292,51.0,2019-10-12T16:15:07.298687,E4:49:12:58:E8:AF
-79,3,991.86,996,3073,21.52,1040.0855734024965,289,50.5,2019-10-12T16:20:06.682111,E4:49:12:58:E8:AF
-81,3,991.87,989,3073,21.55,1033.2598898631456,288,51.0,2019-10-12T16:25:07.143879,E4:49:12:58:E8:AF
-77,3,991.89,996,3067,21.57,1040.21392030678,290,51.0,2019-10-12T16:30:06.632008,E4:49:12:58:E8:AF
-76,3,991.97,991,3073,21.6,1035.915537097499,292,50.5,2019-10-12T16:35:07.003703,E4:49:12:58:E8:AF
-74,3,992.05,992,3079,21.61,1035.6080339587947,288,51.0,2019-10-12T16:40:06.449629,E4:49:12:58:E8:AF
-80,3,992.06,986,3073,21.62,1029.4760803437835,285,50.5,2019-10-12T16:45:07.797364,E4:49:12:58:E8:AF
-80,3,992.07,993,3073,21.63,1036.7342957575968,287,50.5,2019-10-12T16:50:06.140985,E4:49:12:58:E8:AF
-79,3,992.15,989,3073,21.66,1033.9453563897853,291,50.0,2019-10-12T16:55:06.672840,E4:49:12:58:E8:AF
-78,3,992.16,991,3073,21.66,1034.6661297249466,287,50.5,2019-10-12T17:00:07.058779,E4:49:12:58:E8:AF
-77,3,992.12,991,3073,21.66,1034.314265588559,286,50.5,2019-10-12T17:05:06.555085,E4:49:12:58:E8:AF
-76,3,992.07,996,3073,21.67,1039.307942815795,287,50.5,2019-10-12T17:10:06.943941,E4:49:12:58:E8:AF
-80,3,992.07,995,3073,21.67,1039.7624728754158,291,50.5,2019-10-12T17:15:06.312530,E4:49:12:58:E8:AF
-79,3,992.1,992,3073,21.66,1035.699763444986,287,50.0,2019-10-12T17:20:06.898719,E4:49:12:58:E8:AF
-76,3,992.1,989,3067,21.65,1032.601568854125,287,49.5,2019-10-12T17:25:07.311611,E4:49:12:58:E8:AF
-82,3,992.09,992,3079,21.68,1036.7680550634263,290,49.5,2019-10-12T17:30:06.824705,E4:49:12:58:E8:AF
-76,3,992.13,993,3073,21.66,1036.1568414096391,286,50.0,2019-10-12T17:35:06.280964,E4:49:12:58:E8:AF
-78,3,992.19,990,3073,21.65,1034.5453107525063,290,50.0,2019-10-12T17:40:06.736293,E4:49:12:58:E8:AF
-76,3,992.18,992,3061,21.62,1036.0313701814246,289,50.0,2019-10-12T17:45:06.194900,E4:49:12:58:E8:AF
-75,3,992.19,991,3073,21.61,1034.1672978778627,286,50.0,2019-10-12T17:50:06.777275,E4:49:12:58:E8:AF
-77,3,992.16,993,3073,21.59,1037.621800079393,291,50.0,2019-10-12T17:55:07.143295,E4:49:12:58:E8:AF
-76,3,992.19,990,3061,21.58,1034.3964423759394,290,50.0,2019-10-12T18:00:07.694641,E4:49:12:58:E8:AF
-77,3,992.2,992,3067,21.57,1036.6648445857513,291,50.0,2019-10-12T18:05:09.091366,E4:49:12:58:E8:AF
-76,3,992.21,992,3067,21.54,1036.3107642015498,290,50.5,2019-10-12T18:10:07.570323,E4:49:12:58:E8:AF
-78,3,992.22,994,3079,21.52,1038.6534552005303,291,50.0,2019-10-12T18:15:08.044801,E4:49:12:58:E8:AF
-80,3,992.23,991,3073,21.51,1035.0966138481954,288,50.0,2019-10-12T18:20:08.403731,E4:49:12:58:E8:AF
